Codebook Index Counts:
Index 312: 301
Index 313: 1
Index 314: 4952
Index 315: 35
Index 316: 3
Index 317: 596
Index 318: 3107
Index 319: 3200
Index 320: 7
Index 321: 7649
Index 322: 950
Index 323: 54
Index 324: 0
Index 325: 137
Index 326: 1
Index 327: 5283
Index 328: 923
Index 329: 4031
Index 330: 8993
Index 331: 1530
Index 332: 1534
Index 333: 7761
Index 334: 92
Index 335: 3295
Index 336: 379
Index 337: 897
Index 338: 0
Index 339: 9005
Index 340: 15719
Index 341: 0
Index 342: 184
Index 343: 578
Index 344: 559
Index 345: 16
Index 346: 226
Index 347: 16
Index 348: 3555
Index 349: 5355
Index 350: 1135
Index 351: 854
Index 352: 6072
Index 353: 4
Index 354: 120
Index 355: 415
Index 356: 4
Index 357: 195
Index 358: 2851
Index 359: 33
Index 360: 356
Index 361: 5924
Index 362: 7202
Index 363: 0
Index 364: 16
Index 365: 0
Index 366: 36244
Index 367: 12
Index 368: 3097
Index 369: 239
Index 370: 2274
Index 371: 671
Index 372: 3232
Index 373: 80
Index 374: 866
Index 375: 41
Index 376: 0
Index 377: 0
Index 378: 4084
Index 379: 1579
Index 380: 362
Index 381: 1554
Index 382: 167
Index 383: 468
Index 384: 18104
Index 385: 583
Index 386: 1104
Index 387: 4959
Index 388: 5745
Index 389: 2939
Index 390: 117
Index 391: 30
Index 392: 1659
Index 393: 84
Index 394: 128
Index 395: 9
Index 396: 0
Index 397: 586
Index 398: 0
Index 399: 1824
Index 400: 0
Index 401: 5
Index 402: 2268
Index 403: 397
Index 404: 118
Index 405: 2772
Index 406: 0
Index 407: 9430
Index 408: 794
Index 409: 0
Index 410: 16078
Index 411: 11508
Index 412: 25727
Index 413: 29374
Index 414: 282
Index 415: 3003
Index 416: 56
Index 417: 527
Index 418: 3326
Index 419: 3
Index 420: 543
Index 421: 84
Index 422: 4492
Index 423: 333
Index 424: 128
Index 425: 49
Index 426: 90
Index 427: 3435
Index 428: 11489
Index 429: 19463
Index 430: 1334
Index 431: 0
Index 432: 257
Index 433: 3360
Index 434: 11
Index 435: 3044
Index 436: 1579
Index 437: 15909
Index 438: 21
Index 439: 4586
Index 440: 10257
Index 441: 63
Index 442: 310
Index 443: 1631
Index 444: 3213
Index 445: 1
Index 446: 3020
Index 447: 1
Index 448: 178
Index 449: 5
Index 450: 1944
Index 451: 179
Index 452: 718
Index 453: 3
Index 454: 8907
Index 455: 2851
Index 456: 356
Index 457: 17112
Index 458: 1286
Index 459: 9798
Index 460: 265
Index 461: 2831
Index 462: 2644
Index 463: 191
Index 464: 19235
Index 465: 1800
Index 466: 5760
Index 467: 223
Index 468: 3203
Index 469: 26
Index 470: 2306
Index 471: 61
Index 472: 11669
Index 473: 7576
Index 474: 1910
Index 475: 1
Index 476: 172
Index 477: 7395
Index 478: 337
Index 479: 800
Index 480: 2
Index 481: 2
Index 482: 0
Index 483: 12048
Index 484: 57
Index 485: 0
Index 486: 6090
Index 487: 1874
Index 488: 2823
Index 489: 640
Index 490: 10204
Index 491: 6984
Index 492: 0
Index 493: 3139
Index 494: 25
Index 495: 96
Index 496: 42
Index 497: 218
Index 498: 1444
Index 499: 382
Index 500: 20244
Index 501: 11
Index 502: 848
Index 503: 7699
Index 504: 122
Index 505: 1487
Index 506: 5476
Index 507: 5131
Index 508: 2490
Index 509: 5514
Index 510: 3077
Index 511: 582
Index 512: 842
Index 513: 853
Index 514: 16969
Index 515: 6764
Index 516: 161
Index 517: 3841
Index 518: 1
Index 519: 0
Index 520: 1862
Index 521: 6628
Index 522: 14824
Index 523: 23
Index 524: 6542
Index 525: 176
Index 526: 9
Index 527: 1339
Index 528: 35148
Index 529: 3189
Index 530: 1118
Index 531: 4928
Index 532: 908
Index 533: 17031
Index 534: 1250
Index 535: 0
Index 536: 0
Index 537: 67
Index 538: 5872
Index 539: 255
Index 540: 21766
Index 541: 5
Index 542: 6822
Index 543: 567
Index 544: 29
Index 545: 1846
Index 546: 113
Index 547: 142
Index 548: 187
Index 549: 7
Index 550: 5113
Index 551: 10468
Index 552: 0
Index 553: 756
Index 554: 242
Index 555: 3522
Index 556: 5
Index 557: 461
Index 558: 10906
Index 559: 8661
Index 560: 90
Index 561: 277
Index 562: 12
Index 563: 0
Index 564: 0
Index 565: 6927
Index 566: 11977
Index 567: 615
Index 568: 2421
Index 569: 23232
Index 570: 1
Index 571: 268
Index 572: 11
Index 573: 2266
Index 574: 5601
Index 575: 46
Index 576: 57
Index 577: 9629
Index 578: 95
Index 579: 676
Index 580: 856
Index 581: 9
Index 582: 10478
Index 583: 3155
Index 584: 1005
Index 585: 5357
Index 586: 3203
Index 587: 246
Index 588: 2
Index 589: 35
Index 590: 2687
Index 591: 1592
Index 592: 213
Index 593: 1
Index 594: 7681
Index 595: 365
Index 596: 287
Index 597: 411
Index 598: 408
Index 599: 22
Index 600: 15679
Index 601: 243
Index 602: 25582
Index 603: 1019
Index 604: 391
Index 605: 3941
Index 606: 4824
Index 607: 5621
Index 608: 845
Index 609: 22373
Index 610: 2075
Index 611: 22459
Index 612: 176
Index 613: 2397
Index 614: 2252
Index 615: 5280
Index 616: 2345
Index 617: 5487
Index 618: 36573
Index 619: 18624
Index 620: 2086
Index 621: 1029
Index 622: 121
Index 623: 1068
Index 624: 2469
Index 625: 1901
Index 626: 2
Index 627: 22
Index 628: 7219
Index 629: 2311
Index 630: 7
Index 631: 6143
Index 632: 216
Index 633: 0
Index 634: 4371
Index 635: 131
Index 636: 27749
Index 637: 469
Index 638: 0
Index 639: 972
Index 640: 0
Index 641: 310
Index 642: 1118
Index 643: 2700
Index 644: 3426
Index 645: 1561
Index 646: 438
Index 647: 995
Index 648: 1740
Index 649: 2795
Index 650: 1333
Index 651: 83
Index 652: 254
Index 653: 81
Index 654: 65
Index 655: 3672
Index 656: 42
Index 657: 152
Index 658: 1144
Index 659: 7284
Index 660: 4689
Index 661: 1087
Index 662: 844
Index 663: 6565
Index 664: 0
Index 665: 25128
Index 666: 1360
Index 667: 1868
Index 668: 7283
Index 669: 50
Index 670: 2
Index 671: 1098
Index 672: 4159
Index 673: 27306
Index 674: 2028
Index 675: 421
Index 676: 243
Index 677: 435
Index 678: 3702
Index 679: 362
Index 680: 3
Index 681: 16
Index 682: 4783
Index 683: 8463
Index 684: 123
Index 685: 108
Index 686: 4073
Index 687: 6332
Index 688: 0
Index 689: 1284
Index 690: 1833
Index 691: 8276
Index 692: 7306
Index 693: 1727
Index 694: 323
Index 695: 1575
Index 696: 7607
Index 697: 26
Index 698: 19
Index 699: 161
Index 700: 5400
Index 701: 278
Index 702: 60
Index 703: 3466
Index 704: 8918
Index 705: 16064
Index 706: 10463
Index 707: 511
Index 708: 23
Index 709: 5223
Index 710: 1254
Index 711: 8684
Index 712: 450
Index 713: 8582
Index 714: 4022
Index 715: 336
Index 716: 284
Index 717: 142
Index 718: 4293
Index 719: 6102
Index 720: 19044
Index 721: 85
Index 722: 68
Index 723: 6475
Index 724: 1074
Index 725: 97
Index 726: 3968
Index 727: 3
Index 728: 9438
Index 729: 459
Index 730: 1544
Index 731: 0
Index 732: 81
Index 733: 18146
Index 734: 3482
Index 735: 168
Index 736: 415
Index 737: 89
Index 738: 0
Index 739: 1
Index 740: 148
Index 741: 24
Index 742: 2658
Index 743: 128
Index 744: 2140
Index 745: 573
Index 746: 3
Index 747: 226
Index 748: 21106
Index 749: 152
Index 750: 0
Index 751: 7679
Index 752: 411
Index 753: 4
Index 754: 15967
Index 755: 1228
Index 756: 0
Index 757: 323
Index 758: 1124
Index 759: 24161
Index 760: 4
Index 761: 958
Index 762: 443
Index 763: 986
Index 764: 932
Index 765: 23
Index 766: 1885
Index 767: 13756
Index 768: 4
Index 769: 44
Index 770: 639
Index 771: 186
Index 772: 289
Index 773: 10698
Index 774: 888
Index 775: 207
Index 776: 1089
Index 777: 593
Index 778: 5739
Index 779: 43
Index 780: 151
Index 781: 0
Index 782: 386
Index 783: 0
Index 784: 320
Index 785: 81
Index 786: 5403
Index 787: 15941
Index 788: 2512
Index 789: 2
Index 790: 952
Index 791: 6327
Index 792: 683
Index 793: 4
Index 794: 705
Index 795: 2405
Index 796: 7122
Index 797: 3882
Index 798: 503
Index 799: 15354
Index 800: 1344
Index 801: 0
Index 802: 0
Index 803: 1126
Index 804: 1834
Index 805: 343
Index 806: 6324
Index 807: 158
Index 808: 96
Index 809: 1
Index 810: 121
Index 811: 770
Index 812: 3492
Index 813: 0
Index 814: 36
Index 815: 3
Index 816: 1300
Index 817: 159
Index 818: 895
Index 819: 9277
Index 820: 1208
Index 821: 74
Index 822: 45
Index 823: 182
Index 824: 569
Index 825: 11766
Index 826: 462
Index 827: 249
Index 828: 6690
Index 829: 1129
Index 830: 31
Index 831: 19909
Index 832: 5
Index 833: 16
Index 834: 2789
Index 835: 32
Index 836: 17325
Index 837: 25509
Index 838: 110
Index 839: 91
Index 840: 470
Index 841: 1294
Index 842: 167
Index 843: 252
Index 844: 13776
Index 845: 396
Index 846: 571
Index 847: 1435
Index 848: 476
Index 849: 25
Index 850: 847
Index 851: 1524
Index 852: 493
Index 853: 413
Index 854: 136
Index 855: 5754
Index 856: 4889
Index 857: 4
Index 858: 3107
Index 859: 10768
Index 860: 168
Index 861: 492
Index 862: 310
Index 863: 5429
Index 864: 441
Index 865: 8987
Index 866: 169
Index 867: 20501
Index 868: 2074
Index 869: 1423
Index 870: 6055
Index 871: 2280
Index 872: 1055
Index 873: 0
Index 874: 1
Index 875: 0
Index 876: 0
Index 877: 139
Index 878: 261
Index 879: 477
Index 880: 54
Index 881: 4127
Index 882: 1690
Index 883: 2288
Index 884: 6380
Index 885: 22
Index 886: 3
Index 887: 17975
Index 888: 17009
Index 889: 3
Index 890: 38
Index 891: 2384
Index 892: 217
Index 893: 11
Index 894: 0
Index 895: 700
Index 896: 268
Index 897: 2324
Index 898: 4920
Index 899: 64
Index 900: 2433
Index 901: 704
Index 902: 557
Index 903: 571
Index 904: 7260
Index 905: 178
Index 906: 32813
Index 907: 592
Index 908: 4074
Index 909: 666
Index 910: 726
Index 911: 2429
Index 912: 2493
Index 913: 6602
Index 914: 49
Index 915: 1168
Index 916: 2024
Index 917: 1121
Index 918: 11967
Index 919: 18
Index 920: 1439
Index 921: 111
Index 922: 35
Index 923: 7319
Index 924: 708
Index 925: 3702
Index 926: 2139
Index 927: 2265
Index 928: 37956
Index 929: 812
Index 930: 4401
Index 931: 3245
Index 932: 306
Index 933: 2228
Index 934: 29
Index 935: 979
Index 936: 0
Index 937: 93
Index 938: 302
Index 939: 6018
Index 940: 413
Index 941: 9
Index 942: 1451
Index 943: 11814
Index 944: 41
Index 945: 139
Index 946: 493
Index 947: 3
Index 948: 14
Index 949: 2187
Index 950: 5436
Index 951: 281
Index 952: 151
Index 953: 157
Index 954: 235
Index 955: 4501
Index 956: 780
Index 957: 10588
Index 958: 12
Index 959: 3821
Index 960: 47
Index 961: 677
Index 962: 1277
Index 963: 3689
Index 964: 14547
Index 965: 14702
Index 966: 38271
Index 967: 6981
Index 968: 5350
Index 969: 525
Index 970: 1598
Index 971: 6
Index 972: 0
Index 973: 430
Index 974: 943
Index 975: 307
Index 976: 29
Index 977: 325
Index 978: 579
Index 979: 2135
Index 980: 5240
Index 981: 4278
Index 982: 2838
Index 983: 5
Index 984: 13583
Index 985: 33
Index 986: 1410
Index 987: 1592
Index 988: 0
Index 989: 2811
Index 990: 415
Index 991: 50
Index 992: 785
Index 993: 66
Index 994: 34
Index 995: 11
Index 996: 56
Index 997: 290
Index 998: 241
Index 999: 40
Index 1000: 12066
Index 1001: 1645
Index 1002: 2387
Index 1003: 1542
Index 1004: 9648
Index 1005: 414
Index 1006: 2118
Index 1007: 1
Index 1008: 520
Index 1009: 28438
Index 1010: 12197
Index 1011: 9314
Index 1012: 111
Index 1013: 1068
Index 1014: 788
Index 1015: 1256
Index 1016: 14915
Index 1017: 10798
Index 1018: 0
Index 1019: 113
Index 1020: 6190
Index 1021: 276
Index 1022: 50
Index 1023: 4319
Index 1024: 3119
Index 1025: 6017
Index 1026: 126
Index 1027: 774
Index 1028: 11861
Index 1029: 306
Index 1030: 153
Index 1031: 1420
Index 1032: 71
Index 1033: 1101
Index 1034: 2177
Index 1035: 131
Index 1036: 118
Index 1037: 8669
Index 1038: 396
Index 1039: 976
Index 1040: 965
Index 1041: 5
Index 1042: 1084
Index 1043: 70
Index 1044: 1149
Index 1045: 2470
Index 1046: 911
Index 1047: 0
Index 1048: 10
Index 1049: 5
Index 1050: 92
Index 1051: 74
Index 1052: 0
Index 1053: 467
Index 1054: 9874
Index 1055: 13421
Index 1056: 4
Index 1057: 1474
Index 1058: 384
Index 1059: 2
Index 1060: 2
Index 1061: 2348
Index 1062: 513
Index 1063: 4182
Index 1064: 5513
Index 1065: 20
Index 1066: 713
Index 1067: 19
Index 1068: 394
Index 1069: 44
Index 1070: 803
Index 1071: 162
Index 1072: 1776
Index 1073: 337
Index 1074: 102
Index 1075: 133
Index 1076: 498
Index 1077: 58
Index 1078: 83
Index 1079: 496
Index 1080: 1774
Index 1081: 4492
Index 1082: 4911
Index 1083: 7366
Index 1084: 577
Index 1085: 246
Index 1086: 9
Index 1087: 59
Index 1088: 0
Index 1089: 862
Index 1090: 1279
Index 1091: 18403
Index 1092: 1556
Index 1093: 156
Index 1094: 240
Index 1095: 8339
Index 1096: 21916
Index 1097: 12018
Index 1098: 296
Index 1099: 592
Index 1100: 2902
Index 1101: 13572
Index 1102: 5281
Index 1103: 1146
Index 1104: 926
Index 1105: 2399
Index 1106: 14285
Index 1107: 9727
Index 1108: 1838
Index 1109: 7781
Index 1110: 8421
Index 1111: 646
Index 1112: 286
Index 1113: 753
Index 1114: 320
Index 1115: 1257
Index 1116: 73
Index 1117: 20
Index 1118: 6404
Index 1119: 2632
Index 1120: 287
Index 1121: 2196
Index 1122: 406
Index 1123: 3587
Index 1124: 0
Index 1125: 570
Index 1126: 2
Index 1127: 6352
Index 1128: 21896
Index 1129: 43
Index 1130: 30563
Index 1131: 11713
Index 1132: 2705
Index 1133: 51
Index 1134: 2921
Index 1135: 0
Index 1136: 998
Index 1137: 1575
Index 1138: 8840
Index 1139: 290
Index 1140: 1185
Index 1141: 309
Index 1142: 2
Index 1143: 19
Index 1144: 2502
Index 1145: 19
Index 1146: 310
Index 1147: 303
Index 1148: 47
Index 1149: 8460
Index 1150: 3356
Index 1151: 2363
Index 1152: 54
Index 1153: 5
Index 1154: 8562
Index 1155: 1774
Index 1156: 116
Index 1157: 549
Index 1158: 38
Index 1159: 1960
Index 1160: 258
Index 1161: 1044
Index 1162: 14
Index 1163: 910
Index 1164: 1555
Index 1165: 2205
Index 1166: 134
Index 1167: 41
Index 1168: 1408
Index 1169: 6649
Index 1170: 125
Index 1171: 5643
Index 1172: 0
Index 1173: 335
Index 1174: 8973
Index 1175: 830
Index 1176: 569
Index 1177: 5905
Index 1178: 1
Index 1179: 1908
Index 1180: 7202
Index 1181: 17
Index 1182: 474
Index 1183: 11
Index 1184: 2140
Index 1185: 1715
Index 1186: 232
Index 1187: 1498
Index 1188: 56
Index 1189: 2404
Index 1190: 2716
Index 1191: 1
Index 1192: 8591
Index 1193: 2490
Index 1194: 189
Index 1195: 868
Index 1196: 750
Index 1197: 2014
Index 1198: 148
Index 1199: 1680
Index 1200: 142
Index 1201: 37655
Index 1202: 803
Index 1203: 576
Index 1204: 4089
Index 1205: 1348
Index 1206: 38341
Index 1207: 867
Index 1208: 414
Index 1209: 1246
Index 1210: 8026
Index 1211: 878
Index 1212: 9240
Index 1213: 1065
Index 1214: 2097
Index 1215: 3588
Index 1216: 0
Index 1217: 1766
Index 1218: 4079
Index 1219: 7071
Index 1220: 1501
Index 1221: 4940
Index 1222: 15
Index 1223: 187
Index 1224: 386
Index 1225: 2341
Index 1226: 22020
Index 1227: 20
Index 1228: 14053
Index 1229: 591
Index 1230: 510
Index 1231: 1488
Index 1232: 1959
Index 1233: 0
Index 1234: 1448
Index 1235: 1987
Index 1236: 5872
Index 1237: 14839
Index 1238: 12099
Index 1239: 613
Index 1240: 3911
Index 1241: 8900
Index 1242: 1719
Index 1243: 4871
Index 1244: 200
Index 1245: 59
Index 1246: 19
Index 1247: 16776
Index 1248: 2635
Index 1249: 2522
Index 1250: 1339
Index 1251: 0
Index 1252: 671
Index 1253: 0
Index 1254: 353
Index 1255: 8844
Index 1256: 3725
Index 1257: 0
Index 1258: 892
Index 1259: 2768
Index 1260: 320
Index 1261: 1648
Index 1262: 358
Index 1263: 216
Index 1264: 2076
Index 1265: 4590
Index 1266: 7
Index 1267: 3
Index 1268: 165
Index 1269: 2713
Index 1270: 688
Index 1271: 2119
Index 1272: 27
Index 1273: 747
Index 1274: 130
Index 1275: 2
Index 1276: 5355
Index 1277: 1830
Index 1278: 18272
Index 1279: 1409
Index 1280: 416
Index 1281: 1263
Index 1282: 15
Index 1283: 49
Index 1284: 485
Index 1285: 575
Index 1286: 494
Index 1287: 36527
Index 1288: 4256
Index 1289: 5071
Index 1290: 12463
Index 1291: 2942
Index 1292: 703
Index 1293: 24
Index 1294: 248
Index 1295: 3781
Index 1296: 5398
Index 1297: 3843
Index 1298: 1353
Index 1299: 120
Index 1300: 124
Index 1301: 1
Index 1302: 22
Index 1303: 283
Index 1304: 1877
Index 1305: 5034
Index 1306: 17411
Index 1307: 1216
Index 1308: 6650
Index 1309: 1709
Index 1310: 1
Index 1311: 684
Index 1312: 8
Index 1313: 36
Index 1314: 2948
Index 1315: 168
Index 1316: 70
Index 1317: 78
Index 1318: 113
Index 1319: 29
Index 1320: 6881
Index 1321: 1098
Index 1322: 8070
Index 1323: 5424
Index 1324: 1506
Index 1325: 972
Index 1326: 229
Index 1327: 95
Index 1328: 182
Index 1329: 0
Index 1330: 3966
Index 1331: 158
Index 1332: 457
Index 1333: 4522
Index 1334: 1142
Index 1335: 9672
Index 1336: 1558
Index 1337: 2373
Index 1338: 15249
Index 1339: 34
Index 1340: 9860
Index 1341: 320
Index 1342: 3511
Index 1343: 964
Index 1344: 0
Index 1345: 275
Index 1346: 156
Index 1347: 2214
Index 1348: 133
Index 1349: 4995
Index 1350: 1521
Index 1351: 7
Index 1352: 0
Index 1353: 443
Index 1354: 2627
Index 1355: 56
Index 1356: 2486
Index 1357: 243
Index 1358: 114
Index 1359: 21
Index 1360: 26770
Index 1361: 6712
Index 1362: 612
Index 1363: 1372
Index 1364: 2737
Index 1365: 417
Index 1366: 0
Index 1367: 137
Index 1368: 36
Index 1369: 64
Index 1370: 0
Index 1371: 5378
Index 1372: 77
Index 1373: 5
Index 1374: 92
Index 1375: 14
Index 1376: 1023
Index 1377: 2398
Index 1378: 7515
Index 1379: 181
Index 1380: 2
Index 1381: 0
Index 1382: 232
Index 1383: 2105
Index 1384: 4600
Index 1385: 7841
Index 1386: 560
Index 1387: 1
Index 1388: 2730
Index 1389: 585
Index 1390: 532
Index 1391: 0
Index 1392: 3064
Index 1393: 1058
Index 1394: 0
Index 1395: 128
Index 1396: 6106
Index 1397: 96
Index 1398: 215
Index 1399: 1921
Index 1400: 65
Index 1401: 529
Index 1402: 73
Index 1403: 1269
Index 1404: 14898
Index 1405: 199
Index 1406: 0
Index 1407: 258
Index 1408: 8
Index 1409: 2823
Index 1410: 1548
Index 1411: 81
Index 1412: 235
Index 1413: 2
Index 1414: 133
Index 1415: 1117
Index 1416: 1675
Index 1417: 5157
Index 1418: 30
Index 1419: 0
Index 1420: 2762
Index 1421: 748
Index 1422: 5263
Index 1423: 202
Index 1424: 24
Index 1425: 2994
Index 1426: 203
Index 1427: 389
Index 1428: 1108
Index 1429: 10731
Index 1430: 97
Index 1431: 3890
Index 1432: 0
Index 1433: 1
Index 1434: 1624
Index 1435: 4
Index 1436: 1013
Index 1437: 7
Index 1438: 9
Index 1439: 1838
Index 1440: 82
Index 1441: 2402
Index 1442: 13777
Index 1443: 47
Index 1444: 198
Index 1445: 0
Index 1446: 1652
Index 1447: 5027
Index 1448: 1332
Index 1449: 8555
Index 1450: 42
Index 1451: 5211
Index 1452: 631
Index 1453: 81
Index 1454: 1
Index 1455: 2603
Index 1456: 215
Index 1457: 10
Index 1458: 8605
Index 1459: 2221
Index 1460: 70
Index 1461: 22
Index 1462: 283
Index 1463: 139
Index 1464: 1397
Index 1465: 1200
Index 1466: 558
Index 1467: 1452
Index 1468: 7
Index 1469: 358
Index 1470: 18
Index 1471: 7592
Index 1472: 0
Index 1473: 0
Index 1474: 293
Index 1475: 713
Index 1476: 0
Index 1477: 10326
Index 1478: 5396
Index 1479: 12
Index 1480: 3036
Index 1481: 171
Index 1482: 622
Index 1483: 9188
Index 1484: 1747
Index 1485: 1383
Index 1486: 781
Index 1487: 2752
Index 1488: 78
Index 1489: 19689
Index 1490: 2196
Index 1491: 18931
Index 1492: 9
Index 1493: 227
Index 1494: 812
Index 1495: 132
Index 1496: 3060
Index 1497: 4356
Index 1498: 1971
Index 1499: 225
Index 1500: 7
Index 1501: 1510
Index 1502: 2565
Index 1503: 3203
Index 1504: 4213
Index 1505: 633
Index 1506: 4954
Index 1507: 94
Index 1508: 26809
Index 1509: 0
Index 1510: 12349
Index 1511: 2740
Index 1512: 1030
Index 1513: 1522
Index 1514: 19732
Index 1515: 18799
Index 1516: 442
Index 1517: 704
Index 1518: 136
Index 1519: 1440
Index 1520: 7499
Index 1521: 1521
Index 1522: 5
Index 1523: 3601
Index 1524: 6970
Index 1525: 2559
Index 1526: 498
Index 1527: 3783
Index 1528: 393
Index 1529: 1012
Index 1530: 834
Index 1531: 1230
Index 1532: 218
Index 1533: 14426
Index 1534: 1767
Index 1535: 3575
Index 1536: 7846
Index 1537: 5590
Index 1538: 15820
Index 1539: 1333
Index 1540: 9035
Index 1541: 1896
Index 1542: 27
Index 1543: 87
Index 1544: 1
Index 1545: 17734
Index 1546: 786
Index 1547: 0
Index 1548: 212
Index 1549: 386
Index 1550: 587
Index 1551: 303
Index 1552: 9125
Index 1553: 435
Index 1554: 35
Index 1555: 7410
Index 1556: 0
Index 1557: 5320
Index 1558: 4
Index 1559: 709
Index 1560: 10616
Index 1561: 825
Index 1562: 704
Index 1563: 3118
Index 1564: 5
Index 1565: 3311
Index 1566: 282
Index 1567: 158
Index 1568: 1603
Index 1569: 10208
Index 1570: 1509
Index 1571: 6403
Index 1572: 1713
Index 1573: 1215
Index 1574: 4752
Index 1575: 0
Index 1576: 776
Index 1577: 555
Index 1578: 4495
Index 1579: 9011
Index 1580: 497
